ProductID,ProductOracleSerial,ProductModelNO,ProductMPN,CategoryId,CategoryName,FamilyId,FamilyName,ProductCategoryID,ProductCategoryName,RmsCategoryId,RmsFamilyId,RmsSubfamilyId,BrandID,BrandName,BrandNameA,BrandNameE,ProductNameE,ProductDescriptionE,ProductSmallDescriptionE,ProductNameA,ProductDescriptionA,ProductSmallDescriptionA,Url360Ar,Url360En,ProductImageLargePath,ProductImageSmallPath,VideoUrlAr,VideoUrlEn,ProductSize
100007072,100007072,1MR61AA,1MR61AA#ABB,994,Computing,9940021,Accessories,99400210133,Bags & Cases,3,606,13,0,HP,??? ??,HP,"HP 15.6 Active Backpack, Marine Blue/Coral Red","1MR61AA--HP 15.6 Active Backpack, Marine Blue/Coral Red","HP 15.6 Active Backpack, Marine Blue/Coral Red",??? ?? ???? ??? ???? ??? 15.6 ????? ????,??? ?? ???? ??? ???? ??? 15.6 ????? ????,??? ?? ???? ??? ???? ??? 15.6 ????? ????,NULL,NULL,http://cdn.extrastores.com/ImagesSections/product/100007072_L_1.jpg,http://cdn.extrastores.com/ImagesSections/product/100007072_L_1_2.jpg,,,S
100007152,100007152,1MY14AA,1MY14AA#ABB,994,Computing,9940021,Accessories,99400210136,Others,3,619,2,0,HP,??? ??,HP,"Omen by HP Mouse Pad 100, Black","1MY14AA--Omen by HP Mouse Pad 100, Black","Omen by HP Mouse Pad 100, Black",??? ?? ????? ??????,??? ?? ????? ??????,??? ?? ????? ??????,NULL,NULL,http://cdn.extrastores.com/ImagesSections/product/100007152_L_1.jpg,http://cdn.extrastores.com/ImagesSections/product/100007152_L_1_2.jpg,,,S
100007067,100007067,1PD66AA,1PD66AA#ABB,994,Computing,9940021,Accessories,99400210133,Bags & Cases,3,606,13,0,HP,??? ??,HP,"HP 14inch Carry Sleeve, Grey","1PD66AA--HP 14inch Carry Sleeve, Grey","HP 14inch Carry Sleeve, Grey",??? ?? ???? ??? ??? 14 ????? ?????,??? ?? ???? ??? ??? 14 ????? ?????,??? ?? ???? ??? ??? 14 ????? ?????,NULL,NULL,http://cdn.extrastores.com/ImagesSections/product/100007067_L_1.jpg,http://cdn.extrastores.com/ImagesSections/product/100007067_L_1_2.jpg,,,S
100007147,100007147,1PD67AA,1PD67AA#ABB,994,Computing,9940021,Accessories,99400210133,Bags & Cases,3,606,13,0,HP,??? ??,HP,"HP 15.6 inch Carry Sleeve, Grey","1PD67AA--HP 15.6 inch Carry Sleeve, Grey","HP 15.6 inch Carry Sleeve, Grey",??? ?? ???? ??? ??? 15.6 ????? ?????,??? ?? ???? ??? ??? 15.6 ????? ?????,??? ?? ???? ??? ??? 15.6 ????? ?????,NULL,NULL,http://cdn.extrastores.com/ImagesSections/product/100007147_L_1.jpg,http://cdn.extrastores.com/ImagesSections/product/100007147_L_1_2.jpg,,,S
100021137,100021137,1WM82AA,1WM82AA,994,Computing,9940021,Accessories,99400210133,Bags & Cases,2,626,13,0,HP,??? ??,HP,"HP Executive 14.1 Midnight Slim Topload, Black","1WM82AA--HP Executive 14.1 Midnight Slim Topload, Black","HP Executive 14.1 Midnight Slim Topload, Black","??? ?? ????? ????? ????? ???? 14.1????, ????","??? ?? ????? ????? ????? ???? 14.1????, ????","??? ?? ????? ????? ????? ???? 14.1????, ????",NULL,NULL,http://cdn.extrastores.com/ImagesSections/product/100021137_L_1.1-Mid-Slim-Topload---1WM82AA.jpg,http://cdn.extrastores.com/ImagesSections/product/100021137_L_1.1-Mid-Slim-Topload---1WM82AA_2.jpg,,,S
186132,186132,23Z09008,23Z09008,994,Computing,9940021,Accessories,99400210133,Bags & Cases,3,606,27,0,AMERICAN TOURISTER,??????? ???????,AMERICAN TOURISTER,AMERICAN TOURISTER Speedair Black,"23Z09008--AMERICAN TOURISTER Speedair Laptop Briefcase M ipad, 15.4"", Black","AMERICAN TOURISTER Speedair Laptop Briefcase M ipad, Black",??????? ??????? ???? ??? ????? ??????,??????? ??????? ???? ??? ????? ?????? ???? ????????? ?????,??????? ??????? ???? ??? ????? ?????? ???? ????? ??? ?????,NULL,NULL,http://cdn.extrastores.com/ImagesSections/product/174/9984972_L_1.jpg,http://cdn.extrastores.com/ImagesSections/product/174/9984972_L_1_2.jpg,NULL,NULL,S
100031078,100031078,23Z41008,23Z 09 008,994,Computing,9940021,Accessories,99400210133,Bags & Cases,3,606,13,0,AMERICAN TOURISTER,??????? ???????,AMERICAN TOURISTER,"AMERICAN TOURISTER Speedair Laptop Briefcase M ipad, 15.4"", Navy","23Z41008--AMERICAN TOURISTER Speedair Laptop Briefcase M ipad, 15.4 Inch, Navy","23Z41008--AMERICAN TOURISTER Speedair Laptop Briefcase M ipad, 15.4 Inch, Navy","??????? ?????? ???? ??? ????? ?????? 15.4 ????, ??? ????","??????? ?????? ???? ??? ????? ?????? 15.4 ????, ??? ????","??????? ?????? ???? ??? ????? ?????? 15.4 ????, ??? ????",NULL,NULL,http://cdn.extrastores.com/ImagesSections/product/100031078_L_1.jpg,http://cdn.extrastores.com/ImagesSections/product/100031078_L_1_2.jpg,,,S
194616,194616,25020-VR,25020-VR,993,Gaming,9930012,Accessories,99300120090,PlayStation,13,1305,11,0,BIGBEN,??????,BIGBEN,PS4 VR Bag,25020-VR--PS4 VR Bag,PS4 VR Bag,????? ???????? 4  ?? ??,????? ???????? 4  ?? ??,????? ???????? 4  ?? ??,NULL,NULL,http://cdn.extrastores.com/ImagesSections/product/350/9994082_L_1.jpg,http://cdn.extrastores.com/ImagesSections/product/350/9994082_L_1_2.jpg,NULL,NULL,S
170922,170922,2K07444,2K07444,996,Cameras,9960030,Accessories,99600300203,Camera Accessories,3,604,21,0,FUJI,????,FUJI,Fujifilm Instax Mini Instant Film Frame 2 Packs,"2K07444--Fujifilm Instax Mini Instant Film White Frame 2 Packs. 20 Sheets Film, White Frame Design, Credit Size Photos, 54(W) x 86(H) mm Film Size, 46(W) x 62(H) mm Picture Size",Fujifilm Instax Mini Instant Film White Frame 2 Packs. 20 Sh,??? ???? ????10??2 ??? ????????? ???????, ??? ???? ????10 ?? 2 ??? ????????? ??????? ? ??????? SP-1, ??? ???? ????10 ?? 2 ??? ????????? ??????? ? ??????? SP-1,NULL,NULL,http://cdn.extrastores.com/ImagesSections/product/937/9967868_L_1.jpg,http://cdn.extrastores.com/ImagesSections/product/937/9967868_L_1_2.jpg,NULL,NULL,S
100021138,100021138,2PC54AA,2PC54AA#ABB,994,Computing,9940021,Accessories,99400210134,Cables,3,606,18,0,HP,??? ??,HP,"HP Pavilion USB-C to HDMI Adapter, Black","2PC54AA--HP Pavilion USB-C to HDMI Adapter, Black","HP Pavilion USB-C to HDMI Adapter, Black",??? ?? ???????? ???? ?? ?? ?? ??-?? ??? ??? ?? ?? ??,??? ?? ???????? ???? ?? ?? ?? ??-?? ??? ??? ?? ?? ??,??? ?? ???????? ???? ?? ?? ?? ??-?? ??? ??? ?? ?? ??,NULL,NULL,http://cdn.extrastores.com/ImagesSections/product/100021138_L_1.jpg,http://cdn.extrastores.com/ImagesSections/product/100021138_L_1_2.jpg,,,S
100021134,100021134,2SC66AA,2SC66AA,994,Computing,9940021,Accessories,99400210133,Bags & Cases,3,606,5,0,HP,??? ??,HP,"HP 15.6 Business Top Load, Black","2SC66AA--HP 15.6 Business Top Load, Black","HP 15.6 Business Top Load, Black","??? ?? ????? ??????? ?? ???? 15.6, ????","??? ?? ????? ??????? ?? ???? 15.6, ????","??? ?? ????? ??????? ?? ???? 15.6, ????",NULL,NULL,http://cdn.extrastores.com/ImagesSections/product/100021134_L_1.6-Business-Top-Load---2SC66AA.jpg,http://cdn.extrastores.com/ImagesSections/product/100021134_L_1.6-Business-Top-Load---2SC66AA_2.jpg,,,S
